Nota,Nome Comum,Nome Botânico,Família Botânica,Principais Propriedades Terapêuticas,Principais Indicações,Contraindicação,Álcoois,Aldeídos,Cetonas,Ésteres,Fenóis,Óxidos,Terpenos,Lactonas,Cumarinas,Sesquiterpenos,Picture
Média,Majerona,Origanum majorana,Laminaceae,"Anti-infeccioso de largo espectro, antálgico, reequilibrante neurotônico, anti-hipertiroidiano","Reumatismo muscular, artrose, infecções respiratórias, infecções digestivas, hipertiroidismo, hipertensão arterial, dispneia, ansiedade",NA se usado em doses de diluição segura,Álcoois 45% a 50%,,,,,,Terpenos 35% a 40%,,,Sesquiterpenos 3%,https://assets.holyart.it/images/GR005007/it/1600/…016759/CLOSEUP01_HD/h-0ac77490/mirra-granello.jpg
Baixa,Mirra,Commiphora myrrha,Burseraceae,"Anti-inflamatório, calmante emocional, antivirótico","Úlceras varicosas, escaras, hipertiroidismo, diarréias, problemas de comportamento no final da vida",NA se usado em doses de diluição segura,,,Cetonas 5%,,,,,,Hidrocarboneto 5%,Sesquiterpenos 40%,http://biobotica.com.br/wp-content/uploads/2017/07/Sem-t%C3%ADtulo-1-1024x804.jpg
Baixa,Olíbano,Boswellia sacra,Burseraceae,"Antitumoral potencial, antálgico, anti-inflamatório, descongestionante","Dermatites, inflamações articulares e tendinosas, cânceres, elevação espiritual, meditação, depressão, melancolia",NA se usado em doses de diluição segura,,,,,,,Terpenos 60% a 70%,,,Sesquiterpenos 20%,http://www.blissoma.com/assets/images/palmarosa-web.jpg
Média,Palmarosa,Cymbopogon martini,Poaceae,"Anti-infeccioso de largo espectro, uterotônico, antálgico","Faringites, bronquites, dermatites infecciosas, cistites, vaginites, indução e estimulação parto",Contra indicado durante os primeiros 8 meses de gestação,Álcoois 80% a 90%,,,Ésteres 10% a 20%,,,,,,,https://davinawellness.com/wp-content/uploads/2016/09/Patchouli.jpg
Baixa,Patchouli,Pogostemon cablin,Laminaceae,"Descongestionante venoso, linfático e prostático, anti-inflamatório, cicatrizante, Antálgico, estrogênio-like potencial","Hemorroidas, prostatite, rosácea, dermatites inflamatórias",CA positivo para estrogenodependente,,,,,,,,,,"Sesquiterpenos 40% a 50% Sesquiterpenóis 40% a 50%",https://dannybia.com/blog/wp-content/uploads/2020/03/15ml-petitgrain-laranja-amarga-doterra-loja.jpg
Média,Pau-rosa,Aniba rosaeodora,Lauraceae,"Anti-infeccioso, bactericida, virucida, fungicida, tônico e estimulante geral, reenergizante","Infecções ORL e broncopulmonares, Infecções urogenitais, Insonia leve, excesso atividade intelectual, depressão nervosa ",NA se usado em doses de diluição segura,Álcoois 90%,,,,,,,,,,https://www.oleosessenciais.org/wp-content/uploads/sclarea02-950x1160.jpg
Alta,Petitgrain (laranja amarga),Citrus x aurantium,Rutaceae,"Reequilibrante nervoso e emocional, antiespasmodico, anti-inflamatório, analgésico","Espasmos, reumatismos, infecções e inflamações de pele, stress, agitação",NA se usado em doses de diluição segura,Álcoois 30% a 40%,,,Ésteres 50% a 70%,,,Terpenos 10%,,,,http://tisserandinstitute.org/wp-content/uploads/2…alum_album_Chandan_in_Hyderabad_AP_W_IMG_0023.jpg
Baixa,Salvia-esclaréia,Salvia sclarea,Laminaceae,"Estrogênio-like, linfotônico, calmante, relaxante, antitranspirante","Amenorreias, dismenorreias, síndrome de pré-menopausa, estases circulatórias, transpiração excessiva",CA positivo para estrogenodependente,Álcoois 15%,,,Ésteres 60% a 70%,,,Diterpenóis 5% a 10%,,,,https://www.mapleholistics.com/wp-content/uploads/2016/03/tea-tree-oil-plant-e1506330755708.png
Baixa,Sandalo,Santalum austrocaledonicum,Santalaceae,"Descongestionante venoso, linfático e tissular, anti-inflamatório, estrogênio-like potencial, tônico cardíaco","Estases circulatórias, congestão pélvica e prostática, fraqueza cardíaca",CA positivo para estrogenodependente,,,,,,,,,,"Sesquiterpenos 5%,Sesquiterpenóis 85%",https://artisan1-99ac.kxcdn.com/wp-content/uploads…lang-Complete-essential-oil-Artisan-Aromatics.jpg
Baixa,Tea Tree,Melaleuca Alternifolia,Myrtaceae,"Anti-infeccioso de largo espectro, imunomodulador, radioprotetor, antálgico, anti-inflamatório","Afecções bucodentárias, infecções da esfera ORL )otites, sinusites, faringites, amigdalites), infecções ginecológicas, esgotamento geral, prevenção de queimadura de radioterapia",NA se usado em doses de diluição segura,Álcoois 30% a 50%,,,,,Óxidos 5% a 10%,Terpenos 30%,,,Sesquiterpenos 5% 
Baixa,Vertiver,Chrysopogon zizanioides,Poaceae,"Descongestionante das vias circulatórias, analgésico, anti-inflamatório, imunoestimulante","Amenorreia, fraqueza imunológica, congestão prostática, urticária, prurido, vasculites",CA positivo para estrogenodependente,,,,Ésteres sesquiterpênicos,,,,,,"Sesquiterpenos 30% a 40% Sesquiterpenóis 20% a 30% Sesquiterpenonas"
Média,Ylang-Ylang,Cananga odorata,Annonaceae,"Morfina-like potencial, antiarrítmico, analgésico, calmante, relaxante, reequilibrante nervoso e sexual","Problemas de ritmo cardíaco, frigidez, bloqueios sexuais, dores profundas, dores cancerosas, acessos de tristeza, problemas de sono",NA se usado em doses de diluição segura,Álcoois 50% a 55%,,,Ésteres 15% a 20%,Metil-éter-fenóis 15%,,,,,
